account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,sources,company_url,wikipedia_url
Sphera,1,Genstar Capital,genstar-capital,yes,official_site,,
Spins,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/spins/,
Spire,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/spire,
splose,1,Spectrum Equity,spectrum-equity,no,official_site,,
Sponsor United,1,Spectrum Equity,spectrum-equity,no,official_site,,
Spreadtrum,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/spreadtrum/,
Spreedly,1,Spectrum Equity,spectrum-equity,no,official_site,,
Springbrook Software,1,Accel-KKR,accel-kkr,no,official_site,,
Sprinklr,1,Hellman & Friedman,hellman-friedman,no,official_site,https://hf.com/portfolio/sprinklr/,
Squarespace,1,Permira,permira,yes,wikipedia,https://en.wikipedia.org/wiki/Squarespace,https://en.wikipedia.org/wiki/Squarespace
SRC Software,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/src-software/,
SRS Health,1,Thoma Bravo,thoma-bravo,no,official_site,,
SS&C Technologies,1,Carlyle,carlyle,yes,wikipedia,https://en.wikipedia.org/wiki/SS%26C_Technologies,https://en.wikipedia.org/wiki/SS%26C_Technologies
SSP Holdings,1,Hellman & Friedman,hellman-friedman,no,official_site,https://hf.com/portfolio/ssp-holdings-plc/,
ST Math,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/st-math,
Stack Sports,1,Genstar Capital,genstar-capital,yes,official_site,,
